P1,P2,P3,P4,P5,C ,D 
37,674,9,2012,0,275046.08,82
37,750,6,2011,0,232569.26,70
41,321,5,2014,0,223430,61
62,1091,10,2015,0,500117.2,77
76,1300,12,2014,0,514778,82
76,1300,12,2014,0,514778,82
50,1020,9,2010,0,281274.84,76
50,1275,12,2010,0,371933.54,81
71,956,9,2010,0,363888.62,93
71,960,9,2014,0,397848,75
43,800,8,2010,0,282519.94,87
43,1285,2,2014,0,444048,80
37,417,7,2010,0,202702.98,71
37,961,1,2014,0,234432,73
52,1393,13,2014,0,519662,84
46,471,7,2015,0,306033.2,64
88,1095,6,2014,0,407088,99
88,1095,15,2014,0,401568,78
62,1290,13,2015,0,547815.4,82
53,570,9,2014,0,328028,78
45,992,9,2014,0,431896,95
41,850,8,2014,0,400278,89
56,700,9,2015,0,386982.8,83
56,720,9,2012,0,309818.96,70
35,377,6,2012,0,204627.72,62
50,310,7,2015,0,288134.8,67
28,280,5,2013,0,203029.2,60
28,280,5,2015,0,248146.8,60
27,477,5,2010,0,186825.98,64
28,280,5,2015,0,248146.8,60
27,470,5,2014,0,273648,73
31,774,11,2011,0,336811.7,86
51,455,6,2014,0,280302,64
100,1519,15,2012,0,504586.8,87
100,1481,15,2014,0,546694,116
79,909,12,2012,0,370615.4,74
41,532,8,2012,0,239895.92,66
43,544,6,2014,0,266660,66
90,721,13,2015,0,534259.2,85
39,505,8,2014,0,308598,75
46,470,7,2014,0,278388,64
38,530,7,2010,0,210771.44,66
67,1150,11,2011,0,407228.56,102
67,1150,10,2011,0,358094.66,79
65,875,15,2010,0,318373.44,74
74,1675,11,2014,0,665708,123
54,1179,10,2014,0,408892,79
70,908,10,2014,0,473262,92
32,630,6,2014,0,343518,80
70,119,10,2015,0,308792,58
70,870,11,2010,0,316446.24,73
32,600,6,2010,0,218881.74,67
97,1140,4,2014,0,483760,77
50,870,13,2014,0,372658,74
45,616,9,2014,0,325820,68
58,1310,9,2011,0,378083.86,82
56,850,8,2011,0,305783.94,72
80,1399,12,2011,0,436850.26,84
50,600,11,2011,0,255895.64,68
32,765,8,2011,0,252473.76,70
27,400,7,2014,0,253858,63
27,507,7,2014,0,270336,65
38,1033,6,2014,0,358710,75
30,655,5,2013,0,281204.2,81
80,934,9,2014,0,570000,74
77,1393,17,2014,0,649308,85
45,603,6,2014,0,273722,67
61,1018,12,2012,0,363993.08,76
45,610,7,2013,0,296729.2,79
45,630,7,2013,0,275101.2,68
63,1499,12,2013,0,500583.6,86
53,1200,27,2013,0,505672.2,83
53,1325,11,2013,0,471319.2,82
28,198,5,2014,0,212960,58
51,365,5,2012,0,195715.96,62
51,359,7,2013,0,246633.8,69
51,312,7,2013,0,225819,61
28,327,5,2014,0,232826,61
40,1040,11,2014,0,429878,77
63,2015,13,2014,0,504328,96
56,1832,3,2014,0,458964,91
51,1730,7,2014,0,525998,90
46,1390,10,2014,0,480348,83
39,1135,10,2014,0,406758,78
40,1000,3,2014,0,361878,74
25,530,4,2014,0,243318,65
25,644,8,2014,0,273854,68
26,462,8,2014,0,264812,64
39,401,5,2014,0,260898,63
30,400,5,2014,0,244068,63
19,366,5,2014,0,238832,62
24,482,5,2014,0,263472,64
57,1178,13,2014,0,468292,80
52,439,5,2014,0,253460,63
34,870,10,2014,0,370964,73
60,1258,11,2013,0,468171,81
45,850,7,2013,0,308167.2,72
29,330,6,2012,0,206480.56,68
26,300,5,2012,0,198154.76,67
20,390,5,2014,0,222528,62
32,251,4,2014,0,217052,59
40,870,10,2014,0,339458,73
34,400,4,2014,0,219998,62
34,492,5,2014,0,258236,64
34,468,5,2014,0,254540,64
68,664,7,2014,0,315502,68
24,779,4,2014,0,312950,70
52,1100,13,2014,0,421278,78
29,448,7,2014,0,281094,64
36,750,8,2014,0,325028,70
27,299,6,2014,0,232584,61
47,700,6,2014,0,304238,69
23,795,5,2014,0,316470,70
30,779,3,2014,0,316580,70
26.2,588,3,2014,0,264880,66
24,530,8,2011,0,281127.36,77
38.11,707.7,9.45,2012,0,283297.4624,84
37,757.5,6.24,2011,0,253500.4934,74
42.64,327.42,5,2014,0,227898.6,65
64.48,1123.73,10.4,2015,0,535125.404,79
78.28,1352,12.24,2014,0,530221.34,86
79.04,1352,12.6,2014,0,550812.46,88
50,1030.2,9.09,2010,0,292525.8336,78
51,1300.5,12.36,2010,0,371933.54,83
71.71,956,9.09,2010,0,382083.051,99
73.13,960,9.27,2014,0,413761.92,78
43.86,808,8.16,2010,0,290995.5382,90
45.15,1285,2.1,2014,0,479571.84,86
38.11,437.85,7.35,2010,0,212838.129,73
37.74,970.61,1,2014,0,255530.88,74
54.08,1462.65,13.52,2014,0,519662,88
47.84,485.13,7.35,2015,0,330515.856,65
92.4,1127.85,6.12,2014,0,407088,104
92.4,1105.95,15,2014,0,421646.4,79
62.62,1290,13.26,2015,0,602596.94,86
54.59,575.7,9.45,2014,0,328028,79
46.35,1001.92,9.45,2014,0,453490.8,96
41,850,8.24,2014,0,432300.24,93
58.8,735,9,2015,0,414071.596,87
57.68,720,9.09,2012,0,337702.6664,71
36.4,395.85,6.06,2012,0,220997.9376,63
51,322.4,7.21,2015,0,305422.888,72
28.56,280,5.25,2013,0,211150.368,61
29.4,294,5.15,2015,0,265517.076,63
27.54,486.54,5.25,2010,0,203640.3182,66
28.84,291.2,5,2015,0,255591.204,62
27.27,470,5,2014,0,290066.88,74
31.62,781.74,11.55,2011,0,340179.817,86
53.55,477.75,6.12,2014,0,288711.06,66
104,1519,15,2012,0,514678.536,91
100,1540.24,15.3,2014,0,584962.58,117
80.58,918.09,12.48,2012,0,392852.324,77
43.05,553.28,8.16,2012,0,259087.5936,68
